College,Branch,Category,Rank
E177,ME,1R,0
E177,ME,2AG,0
E177,ME,2AK,0
E177,ME,2AR,0
E177,ME,2BG,0
E177,ME,2BK,0
E177,ME,2BR,0
E177,ME,3AG,0
E177,ME,3AK,0
E177,ME,3AR,0
E177,ME,3BG,0
E177,ME,3BK,0
E177,ME,3BR,0
E177,ME,GM,0
E177,ME,GMK,0
E177,ME,GMR,0
E177,ME,SCG,0
E177,ME,SCK,0
E177,ME,SCR,0
E177,ME,STG,0
E177,ME,STK,0
E177,ME,STR,0
E178,CA-CS,1G,15067
E178,CA-CS,1K,44276
E178,CA-CS,1R,18921
E178,CA-CS,2AG,12140
E178,CA-CS,2AK,0
E178,CA-CS,2AR,15017
E178,CA-CS,2BG,13897
E178,CA-CS,2BK,0
E178,CA-CS,2BR,0
E178,CA-CS,3AG,7631
E178,CA-CS,3AK,0
E178,CA-CS,3AR,0
E178,CA-CS,3BG,8198
E178,CA-CS,3BK,0
E178,CA-CS,3BR,0
E178,CA-CS,GM,7603
